start,day,id,screen_num
0900,Monday,00000,1
0900,Monday,63455,4
0900,Monday,57023,7
1000,Monday,23468,2
1000,Monday,95867,6
1100,Monday,38744,8
1100,Monday,95867,3
1200,Monday,24380,5
1200,Monday,39487,7
1300,Monday,38744,1
1300,Monday,00000,2
1300,Monday,23468,8
1400,Monday,63455,3
1400,Monday,95867,4
1500,Monday,63455,5
1600,Monday,24380,6
1700,Monday,23468,7
1700,Monday,63455,8
1800,Monday,38744,2
1800,Monday,95867,4
2000,Monday,00000,1
2000,Monday,23468,6
2100,Monday,23097,3
2100,Monday,39487,8
2200,Monday,23468,7
0900,Tuesday,00000,1
0900,Tuesday,63455,4
0900,Tuesday,57023,7
1000,Tuesday,23468,2
1000,Tuesday,95867,6
1100,Tuesday,38744,8
1100,Tuesday,95867,3
1200,Tuesday,24380,5
1200,Tuesday,39487,7
1300,Tuesday,38744,1
1300,Tuesday,00000,2
1300,Tuesday,23468,8
1400,Tuesday,63455,3
1400,Tuesday,95867,4
1500,Tuesday,63455,5
1600,Tuesday,24380,6
1700,Tuesday,23468,7
1700,Tuesday,63455,8
1800,Tuesday,38744,2
1800,Tuesday,95867,4
2000,Tuesday,00000,1
2000,Tuesday,23468,6
2100,Tuesday,23097,3
2100,Tuesday,39487,8
2200,Tuesday,23468,7
0900,Wednesday,00000,1
0900,Wednesday,63455,4
0900,Wednesday,57023,7
1000,Wednesday,23468,2
1000,Wednesday,95867,6
1100,Wednesday,38744,8
1100,Wednesday,95867,3
1200,Wednesday,24380,5
1200,Wednesday,39487,7
1300,Wednesday,38744,1
1300,Wednesday,00000,2
1300,Wednesday,23468,8
1400,Wednesday,63455,3
1400,Wednesday,95867,4
1500,Wednesday,63455,5
1600,Wednesday,24380,6
1700,Wednesday,23468,7
1700,Wednesday,63455,8
1800,Wednesday,38744,2
1800,Wednesday,95867,4
2000,Wednesday,00000,1
2000,Wednesday,23468,6
2100,Wednesday,23097,3
2100,Wednesday,39487,8
2200,Wednesday,23468,7
0900,Thursday,00000,1
0900,Thursday,63455,4
0900,Thursday,57023,7
1000,Thursday,23468,2
1000,Thursday,95867,6
1100,Thursday,38744,8
1100,Thursday,95867,3
1200,Thursday,24380,5
1200,Thursday,39487,7
1300,Thursday,38744,1
1300,Thursday,00000,2
1300,Thursday,23468,8
1400,Thursday,63455,3
1400,Thursday,95867,4
1500,Thursday,63455,5
1600,Thursday,24380,6
1700,Thursday,23468,7
1700,Thursday,63455,8
1800,Thursday,38744,2
1800,Thursday,95867,4
2000,Thursday,00000,1
2000,Thursday,23468,6
2100,Thursday,23097,3
2100,Thursday,39487,8
2200,Thursday,23468,7
0900,Friday,00000,1
0900,Friday,63455,4
0900,Friday,57023,7
1000,Friday,23468,2
1000,Friday,95867,6
1100,Friday,38744,8
1100,Friday,95867,3
1200,Friday,24380,5
1200,Friday,39487,7
1300,Friday,38744,1
1300,Friday,00000,2
1300,Friday,23468,8
1400,Friday,63455,3
1400,Friday,95867,4
1500,Friday,63455,5
1600,Friday,24380,6
1700,Friday,23468,7
1700,Friday,63455,8
1800,Friday,38744,2
1800,Friday,95867,4
2000,Friday,00000,1
2000,Friday,23468,6
2100,Friday,23097,3
2100,Friday,39487,8
2200,Friday,23468,7
0900,Saturday,00000,1
0900,Saturday,63455,4
0900,Saturday,57023,7
1000,Saturday,23468,2
1000,Saturday,95867,6
1100,Saturday,38744,8
1100,Saturday,95867,3
1200,Saturday,24380,5
1200,Saturday,39487,7
1300,Saturday,38744,1
1300,Saturday,00000,2
1300,Saturday,23468,8
1400,Saturday,63455,3
1400,Saturday,95867,4
1500,Saturday,63455,5
1600,Saturday,24380,6
1700,Saturday,23468,7
1700,Saturday,63455,8
1800,Saturday,38744,2
1800,Saturday,95867,4
2000,Saturday,00000,1
2000,Saturday,23468,6
2100,Saturday,23097,3
2100,Saturday,39487,8
2200,Saturday,23468,7
0900,Sunday,00000,1
0900,Sunday,63455,4
0900,Sunday,57023,7
1000,Sunday,23468,2
1000,Sunday,95867,6
1100,Sunday,38744,8
1100,Sunday,95867,3
1200,Sunday,24380,5
1200,Sunday,39487,7
1300,Sunday,38744,1
1300,Sunday,00000,2
1300,Sunday,23468,8
1400,Sunday,63455,3
1400,Sunday,95867,4
1500,Sunday,63455,5
1600,Sunday,24380,6
1700,Sunday,23468,7
1700,Sunday,63455,8
1800,Sunday,38744,2
1800,Sunday,95867,4
2000,Sunday,00000,1
2000,Sunday,23468,6
2100,Sunday,23097,3
2100,Sunday,39487,8
2200,Sunday,23468,7
