start,day,id,screen_num
0,Monday,000,0
0,Monday,634,1
0,Monday,570,2
1,Monday,234,0
1,Monday,958,1
1,Monday,387,2
2,Monday,958,0
2,Monday,243,1
2,Monday,394,2
0,Tuesday,000,0
0,Tuesday,634,1
0,Tuesday,570,2
1,Tuesday,234,0
1,Tuesday,958,1
1,Tuesday,387,2
2,Tuesday,958,0
2,Tuesday,243,1
2,Tuesday,394,2
0,Wednesday,000,0
0,Wednesday,634,1
0,Wednesday,570,2
1,Wednesday,234,0
1,Wednesday,958,1
1,Wednesday,387,2
2,Wednesday,958,0
2,Wednesday,243,1
2,Wednesday,394,2
0,Thursday,000,0
0,Thursday,634,1
0,Thursday,570,2
1,Thursday,234,0
1,Thursday,958,1
1,Thursday,387,2
2,Thursday,958,0
2,Thursday,243,1
2,Thursday,394,2
0,Friday,000,0
0,Friday,634,1
0,Friday,570,2
1,Friday,234,0
1,Friday,958,1
1,Friday,387,2
2,Friday,958,0
2,Friday,243,1
2,Friday,394,2
0,Saturday,000,0
0,Saturday,634,1
0,Saturday,570,2
1,Saturday,234,0
1,Saturday,958,1
1,Saturday,387,2
2,Saturday,958,0
2,Saturday,243,1
2,Saturday,394,2
0,Sunday,000,0
0,Sunday,634,1
0,Sunday,570,2
1,Sunday,234,0
1,Sunday,958,1
1,Sunday,387,2
2,Sunday,958,0
2,Sunday,243,1
2,Sunday,394,2
